出典,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解番号,解説
統一基準ガイドライン 基本対策事項5.2.1(3)-7 b),情報の「暗号化消去」を実施する場合、データのバックアップに加えて特に管理・バックアップが重要とされるものはどれだお？,暗号化に使用したソフトウェアの、古いバージョンのインストール用CD-ROMだお。,情報の復元に不可欠な「暗号鍵」だお。,暗号化設定画面のスクリーンショット画像だお。,暗号化にかかった時間の計測データだお。,2,【結論】正解は2だお！鍵を失くしたら、どんなにバックアップがあってもただのゴミになっちゃうお！ 【根拠】※ https://www.nisc.go.jp/ データを暗号化して守るのはいいけど、もし「復号するための鍵」が壊れたり紛失したりしたら、二度とデータは見られないお！だから、暗号鍵のバックアップ要件を定めて、厳重に管理することが絶対に必要だお！ 【注意点・例外】鍵管理の手順については、基本対策事項7.1.5(1)-3 b)も併せて参照するお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項5.2.1(3)-8 a),特に重要な情報を取り扱うシステムにおいて、サイバー攻撃への対策（入口・出口対策）として求められる「ネットワーク構成」の要件はどれだお？,利便性を最優先し、社内ネットワークとインターネットを完全に一本化するお。,インターネットやクラウド等の接点を持つシステムとの間を「論理的に分離」する等の対策を講ずるお。,インターネット回線は使わず、すべての通信を物理的な郵便（封書）で行うお。,USBポートをガムテープで塞ぐことのみを、唯一のネットワーク対策とするお。,2,【結論】正解は2だお！「外の世界」と「中の大事な場所」の間に、しっかりとした壁を作るお！ 【根拠】※ https://www.nisc.go.jp/ 標的型攻撃による感染は100%は防げないお。だから、「侵入させない（入口対策）」だけでなく、万が一侵入されても「情報を外に逃がさない（出口対策）」のために、通信経路を論理的に切り離す（ネットワーク分離）ことが重要なんだお！  【注意点・例外】USBポート等の物理的な接点についても、適切な運用が必要だお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項5.2.1(3)-8 b),ソフトウェアを実行するために「ポート」を開放する際、ガイドラインが「悪用される可能性が高いため特に注意が必要」としているポート番号の例に含まれないものはどれだお？,管理で利用される22番（SSH）や、リモートデスクトップの3389番だお。,ファイル共有で利用される137番〜139番、445番（SMB）だお。,Web閲覧で標準的に利用される443番（HTTPS）だお。,古い管理プロトコルの23番（Telnet）だお。,3,【結論】正解は3だお！443番は今のWebの標準だけど、それ以外の「裏口」になりやすいポートは厳重警戒だお！ 【根拠】※ https://www.nisc.go.jp/ 不要なポートを開けておくのは、家の鍵をかけずに外出するのと同じだお！特に3389番（RDP）や445番（SMB）はランサムウェアの標的になりやすいから、本当に必要か？制限はかかっているか？を死ぬほど検討しなきゃダメだお！  【注意点・例外】使用しないポートは「原則として閉じる」のが鉄則だお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項5.2.1(3)-8 c),外部のクラウドサービスにアクセスする際の不正アクセスを管理するために、導入を検討すべきと例示されている機能・サービスはどれだお？,すべてのWebサイトを白黒で表示させる画像圧縮サービスだお。,クラウドの利用度の可視化やアクセス制御を行う「CASB（キャスビー）」等のサービスだお。,職員のタイピング速度を24時間監視するソフトウェアだお。,インターネット回線を、あえてアナログ電話回線に変更するサービスだお。,2,【結論】正解は2だお！「誰がどんなクラウドを使っているか」を透明化するお！ 【根拠】※ https://www.nisc.go.jp/ クラウドは便利だけど、管理外の利用（シャドーIT）が怖いお。そこで、CASBを利用して「どのサービスに、誰が、どれくらいアクセスしているか」を可視化し、安全な利用だけを許可（アクセス制御）する要件を定めることが推奨されているんだお！ 【注意点・例外】通信経路全般のネットワーク構成を明確に定める必要があるお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項5.2.1(3)-8 d),外部回線を経由した「リモートメンテナンス」を許可する際の要件として、正しいものはどれだお？,すべての機器で、初期設定のままリモートメンテナンスを常に有効にしておくお。,アクセスすることのリスクを検討した上で要否を判断し、許可しない機器はアクセスできないように設定するお。,リモートメンテナンス専用の、パスワードが不要なゲストアカウントを作成するお。,メンテナンス作業中は、機関等のセキュリティ機能を一時的に全停止させるお。,2,【結論】正解は2だお！「どうしても必要な時」だけ、厳重な鍵をかけて許可するんだお！ 【根拠】※ https://www.nisc.go.jp/ リモートメンテナンスの口（入り口）は、ハッカーにとっても格好の侵入口だお！初期設定でONになっている機器も多いから注意が必要だお。本当に必要か？を吟味して、不要なら徹底的に閉じる（アクセス不可にする）のが正解なんだお！ 【注意点・例外】許可する場合は、不正アクセスを防ぐ強固なネットワーク構成や認証が必要だお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項5.2.1(3)-9 b),機器の調達時に「セキュリティ要件」を策定する際、分析の土台となる考え方として適切なものはどれだお？,どんな環境でも一律で、世界最高レベルの暗号化要件をすべて盛り込むお。,調達する機器がどのような環境（スタンドアロンかネットワーク接続か等）で運用されるのかを把握し、存在する脅威を分析するお。,機器のスペック表の数字の大きさだけを比較して、要件を決定するお。,セキュリティ要件は定めず、納品された機器のデフォルト設定のまま運用するお。,2,【結論】正解は2だお！「どこでどう使うか」によって、必要な防具は変わるんだお！ 【根拠】※ https://www.nisc.go.jp/ 例えば、ネットに繋がない「スタンドアロン」のPCなら、通信の盗聴対策は不要だおね？逆にネットに繋ぐなら必須だお。このように、利用環境に応じた「必要十分な要件」を策定することで、コストを抑えつつ確実に守ることができるんだお！ 【注意点・例外】物理的に隔離された場所に置くことで、一部の脅威を軽減することも考えられるお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項5.2.1(3)-7 c),「要安定情報」を取り扱うシステムにおいて、復旧に関する要件を定める際に最も考慮すべき「基準」は何だお？,エンジニアの残業時間が、月間45時間を超えないようにすることだお。,業務の停止が国民の安全や利益に与える影響を踏まえ、システムを中断できる時間を基準にするお。,復旧作業にかかる電気代の予算の上限だお。,復旧時に、さくたろうちゃんの写真を何枚画面に表示させるかという基準だお。,2,【結論】正解 is 2だお！「何分（何時間）止まったら国民が困るか？」から逆算して、復旧時間を決めるお！ 【根拠】※ https://www.nisc.go.jp/ 止まっちゃいけないシステム（要安定情報）は、万が一の時に「いつまでに直すか（RTO：目標復旧時間）」が命だお！「30分以内に直さないと社会がパニックになるお！」という状況なら、それに見合った高速な復旧手順や機材の要件を定めておかなきゃいけないんだお！ 【注意点・例外】危機的事象の発生時でも、運用を継続させるための要件を策定するお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 遵守事項5.2.2(1)(b),開発・テスト環境から本番環境への「移行」において、整備が求められている事項として適切なものはどれだお？,移行作業はすべて自動化されるため、手順書の整備は不要だお。,情報の取扱手順、人為的な操作ミス防止の手順・環境、停止を伴う場合の可用性確保の環境整備などだお。,移行時に古いデータはすべて物理的に破棄し、バックアップは取らないようにするお。,移行環境のセキュリティ設定は、本番環境よりも意図的に低く設定するお。,2,【結論】正解は2だお！「うっかり」ミスを防いで、サービスを止めずに引っ越す準備をするお！ 【根拠】※ https://www.nisc.go.jp/ 開発から本番への切り替えは、一番ミスが起きやすく、サービス停止のリスクも高い「魔の時間」だお。だから、データの扱いを決めるのはもちろん、作業者が間違えないための環境（操作手順の確認など）をしっかり整えておく必要があるんだお！ 【注意点・例外】関連システムの停止が伴う場合には、可用性を確保するための工夫も必要だお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 遵守事項5.2.2(1)(c),情報システムを新規構築、又は更改した際、情報システムセキュリティ責任者が「速やかに」行うべき報告は何だお？,システムの開発にかかった総残業時間の報告だお。,情報システム台帳に記載の事項についての報告だお。,全職員のパソコンの壁紙設定に関する報告だお。,近隣のランチスポットの混雑状況の報告だお。,2,【結論】正解は2だお！「そんなシステムあったの！？」を防ぐために、台帳にすぐ載せるお！ 【根拠】※ https://www.nisc.go.jp/ 組織のIT資産を漏れなく把握（網羅性維持）するために、新しいシステムが生まれたり中身が変わったり（更改）したら、速やかに「情報システム台帳」を更新しなきゃダメだお。台帳が古いと、セキュリティの穴を見逃しちゃうからね！ 【注意点・例外】報告の方法や時期については、各機関で決めてもいいことになっているお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 遵守事項5.2.2(1)(d),「情報システム関連文書」を最新に保つための運用として、ガイドラインが推奨していることはどれだお？,一度作成した文書は、システムを廃止するまで一切変更しないお。,定期的な見直しを行うことをあらかじめ定めておくとよいお。,文書は必ず紙に印刷し、金庫の奥に厳重に封印しておくお。,文書の内容はあえて曖昧にし、誰でも解釈を変えられるようにするお。,2,【結論】正解は2だお！ルールは「生モノ」！定期的にチェックして、今の現実に合わせるお！ 【根拠】※ https://www.nisc.go.jp/ システム構成が変わったり、世の中のリスクが変化したりすると、昔作ったマニュアル（文書）は役に立たなくなるお。だから「1年に1回は見直すお！」みたいに、あらかじめ見直しのルールを決めておくのがスマートな運用なんだお！ 【注意点・例外】維持管理がしやすいように、適切な単位で整備することが望ましいお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 遵守事項5.2.2(1)(e)(イ),「インシデントの対処手順」に含めるべき内容として、ガイドラインが例示している適切なものはどれだお？,システムを停止させる際の、停止の可否の判断基準や決定権者の明示だお。,インシデント発生時に、責任を誰かに押し付けるためのなすりつけリストだお。,不正プログラムの種類に関わらず、すべてのパソコンを即座にハンマーで物理破壊する手順だお。,外部の専門家には一切頼らず、自分たちだけで秘密裏に解決するための隠蔽手順だお。,1,【結論】正解は1だお！「止める？止めない？」で揉めないように、リーダーをハッキリさせるお！ 【根拠】※ https://www.nisc.go.jp/ インシデントが起きた時、「この重要なシステムを止めていいのかお！？」と現場はパニックになるお。その時に、誰が最終的に「止めてヨシ！」と言うのか（決定権者）、どんな状態なら止めるのか（判断基準）を事前に決めておかないと、被害がどんどん広がっちゃうんだお！ 【注意点・例外】デジタルフォレンジック等の支援を受ける外部の専門家の連絡先も書いておくと心強いお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 遵守事項5.2.2(1)(e)(ウ),情報システムが「停止」した際の「復旧手順」に記載すべき事項として、適切なものはどれだお？,復旧作業にかかる電気代の節約方法だお。,バックアップからのリストア手順や、代替サイトへの切替え手順、役割と責任などだお。,システムが止まっている間に、全職員が休暇を取るための申請手順だお。,停止した原因となった機器を、呪術的な方法で清める手順だお。,2,【結論】正解は2だお！「どうやって元に戻すか」を、具体的すぎるくらい具体的に書くお！ 【根拠】※ https://www.nisc.go.jp/ システムが止まったら、まずは「どれから直すか（優先度）」が大事だお。そして、バックアップからデータを戻す（リストア）具体的な手順や、予備のサイト（代替サイト）があるならそこへの切り替え方を、誰が担当するのかも含めてガッチリ手順書に載せておく必要があるんだお！ 【注意点・例外】システムの運用を開始するまでに、この復旧手順を整備しなきゃいけないお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項5.2.2(1)-1 c),機器の設定を行う際、設定ミスを防ぐために「具体的な設定値」の参考となるベストプラクティスとして、ガイドラインが例示している米国の非営利団体が発行する資料は何だお？,NASAの宇宙開発レポートだお。,CIS Benchmarks（Center for Internet Security）だお。,SNSでバズっている最新の裏技集だお。,世界最大のコーヒーチェーンの秘伝レシピだお。,2,【結論】正解は2だお！世界中のセキュリティのプロが認める「設定の黄金律」だお！ 【根拠】※ https://www.cisecurity.org/ 機器の初期設定は「とりあえず動く」状態なことが多いけど、それだと穴だらけだお。だから、IPAやNISCのガイドラインに加えて、世界的に信頼されている「CIS Benchmarks」などの具体的な設定値を参照して、ガチガチに守りを固める必要があるんだお！ 【注意点・例外】他にもIPAやNISCのマニュアルも併せて参照することが考えられるお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項5.2.2(1)-1 f),「プラットフォーム診断」や「ウェブアプリケーション診断」などの脆弱性診断を実施するタイミングとして、最も望ましいのはいつだお？,システムが完成するずっと前の、企画段階の時だお。,運用開始前に、本番環境（又はそれと同等の環境）を前提に実施するお。,運用が始まって、3年くらい経ってからゆっくりやるお。,担当者のやる気が出た、土曜日の深夜に抜き打ちでやるお。,2,【結論】正解 is 2だお！「いざ戦場に出る（本番稼働）」直前の健康診断が命だお！ 【根拠】※ https://www.digital.go.jp/ 脆弱性診断は「本番と同じ設定」でやらないと意味がないお。だから、運用開始前の最終テストとして実施するのが鉄則だお！もしやむを得ず検証環境でやる場合も、本番と全く同じ構成にしてから行うのが有効だお。ソースコード診断はもっと早い段階からやるのもアリだお！ 【注意点・例外】デジタル庁の「政府情報システムにおける脆弱性診断導入ガイドライン」を参考にするといいお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項5.2.2(1)-3/5 b),利用しているソフトウェアの「名称」だけでなく、「バージョン」や「サポート体制」まで把握しなきゃいけない最大の理由は何だお？,バージョンの数字がカッコいいか、デザイン的にチェックするためだお。,脆弱性が見つかった時に速やかに対処し、サポート終了（EOL）による無防備状態を防ぐためだお。,ソフトウェアのメーカーの株価を、毎日チェックするためだお。,全職員のパソコンの起動時間を、1秒でも短くするためだお。,2,【結論】正解は2だお！「古くなった防具」は、いつの間にか使い物にならなくなってるかもしれないお！ 【根拠】※ https://www.nisc.go.jp/ 「バージョン」が分からないと、最新の脆弱性がウチのシステムに関係あるか判断できないお！また、サポートが終わった製品は穴が見つかっても直してもらえない「丸裸」状態だお。だから、システムを入れ替える（更改）までサポートが続くか、事前に調べておく必要があるんだお！ 【注意点・例外】機器そのもの（ハード）の機種名も同様に把握が必要だお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項5.2.2(1)-3 c),ソフトウェアに組み込まれている「ライブラリ」や、後から追加した「プラグイン」の管理について正しいものはどれだお？,元のソフトの開発元がすべての責任を持つので、個別の管理は不要だお。,開発元が異なる場合、脆弱性情報が共有されない可能性があるため、個別に種類やバージョンを把握するお。,プラグインは利便性を高める魔法のツールなので、制限なく自由に追加してよいお。,ライブラリのバージョンアップは、コストがかかるので永久に禁止するお。,2,【結論】正解は2だお！「借りてきた部品（ライブラリ）」や「後付けパーツ（プラグイン）」まで見張るのがプロの仕事だお！ 【根拠】※ https://www.nisc.go.jp/ メインのソフトの開発元は、自分たちで作ってない「ライブラリ」や「プラグイン」の面倒までは見てくれないお。だから、その中身（ソフトウェア部品）の一つひとつに穴がないか、自分たちでしっかりバージョン管理（SBOMの考え方だお！）しなきゃいけないんだお！ 【注意点・例外】委託開発の場合は、委託先からこれらの情報を漏れなく入手する必要があるお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項5.2.2(1)-3 c),「オープンソースソフトウェア（OSS）」を利用する際、商用ソフトと比較して特に注意が必要な点として挙げられているものはどれだお？,OSSは必ず有料で提供されるため、予算を多めに確保しなければならないお。,サポート期間（ライフサイクル）が短かったり、サポートが不十分だったりする場合があるお。,OSSはプログラムが非公開なため、セキュリティチェックが物理的に不可能だお。,OSSを使えば、情報システム台帳への報告義務が法律で免除されるお。,2,【結論】正解は2だお！「タダ（無料）」の裏には、「自分で面倒を見る」という覚悟が必要だお！ 【根拠】※ https://www.meti.go.jp/ OSSは商用ソフトほど手厚いサポートがないことが多いし、サポート期間も短い傾向にあるお。だから、脆弱性対応のために利用状況をガッチリ把握しなきゃいけないお。あと、著作権やライセンス（許諾条件）を守っているかも要チェックだお！ 【注意点・例外】経産省の「OSSの利活用及びそのセキュリティ確保に向けた管理手法に関する事例集」が参考になるお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項5.2.2(1)-1,情報システムの構築を「業務委託せずに、自分たち（機関等）で構築する」場合のセキュリティ対策はどうすべきだお？,自分たちで作るなら信頼できるため、セキュリティ対策は大幅に簡略化してよいお。,業務委託する場合と同じ基準（遵守事項4.1.2(2)の内容）を参照し、必要な対策を実施するお。,自分たちのミスは不問とするため、脆弱性検査はあえて実施しないようにするお。,マニュアルやベストプラクティスは無視し、すべて自己流のやり方で構築するお。,2,【結論】正解は2だお！「身内が作ったから安心」なんて油断は、ハッカーの大好物だお！ 【根拠】※ https://www.nisc.go.jp/ 外部の業者に任せる時も、自分たちで作る時も、出来上がるシステムの「守りの水準」は同じでなきゃいけないお。だから、業務委託のルール（4.1節）をしっかり読み込んで、それと同等の厳しいチェック（脆弱性診断や設定管理）を自分たちにも課すことが求められているんだお！ 【注意点・例外】責任の所在を明確にするために、管理者の記載も確実に把握する必要があるお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項5.2.2(1)-3 d),情報セキュリティ対策の実施状況の確認や見直しの際、システムの仕様や機能を確認するために必要となる文書はどれだお？,各職員が個人的に付けている日記だお。,情報システムに係る「調達仕様書又は設計書」だお。,システム開発会社の過去の求人票だお。,近隣のカフェの割引クーポン券だお。,2,【結論】正解は2だお！「どう作ったか」の証拠（設計書）がないと、正しく守れているか確認できないお！ 【根拠】※ https://www.nisc.go.jp/ システムが稼働した後に「あれ、このセキュリティ設定ってどうなってたっけお？」と確認したり、新しい脅威に合わせてルールを見直したりする時には、元の設計図（設計書）や、どんな約束で買ったか（調達仕様書）が絶対に必要になるんだお！これが無いと、セキュリティの棚卸しが全くできなくなっちゃうお！ 【注意点・例外】設計書は常に最新の状態（現行化）に保っておくことが実務では重要だお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項5.2.2(1)-4,膨大なソフトウェアの種類やバージョンを手作業で把握するのは困難なため、導入が有用とされているものはどれだお？,全職員に目視で毎日チェックさせる当番制だお。,自動でIT資産を管理する機能を有する「IT資産管理ソフトウェア」だお。,高性能な双眼鏡を用いた、サーバー室の外からの監視だお。,バージョン情報をすべて紙に書き写して保管する専用の書庫だお。,2,【結論】正解は2だお！「人間がExcelで管理」するのは限界があるから、ツールに任せるお！ 【根拠】※ https://www.nisc.go.jp/ クラウドやPCにインストールされた大量のソフトを、手作業で「漏れなく正確に」把握するのは無理ゲーだお。だから、自動で吸い上げてくれる資産管理ソフトを使うのが賢いやり方だお！さらに、USBメモリの利用制限やネットワーク接続の制御までやってくれるツールも多いから、セキュリティ対策としても一石二鳥なんだお！ 【注意点・例外】導入するだけでなく、管理対象から漏れている端末がないかのチェックも必要だお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項5.2.2(1)-5 d),「通信回線の構成図」を作成する際、経路上の脅威を洗い出し、影響範囲を把握するために「記載することが望ましい」とされているものはどれだお？,回線契約を担当した職員の名前と生年月日だお。,構成要素ごとの「データの流れ（データフロー）」だお。,サーバー室内のエアコンの温度設定の履歴だお。,通信回線を通るパケットの、一つひとつの色や形だお。,2,【結論】正解は2だお！「どこをどんなデータが流れているか」が分かれば、守るべき場所が見えてくるお！ 【根拠】※ https://www.nisc.go.jp/ 単に「繋がっている線」を書くだけじゃ不十分だお。「この線には要機密情報が流れるお！」とデータの流れ（データフロー）を書き込むことで、どこで盗聴や改ざんのリスクがあるか（脅威の洗い出し）が初めて可能になるんだお！  【注意点・例外】クラウドサービス等で内部の構成が見えない場合は、クラウドまでの接続関係を明記すればOKだお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項5.2.2(1)-6,情報システムのセキュリティ維持のために、管理者が実施すべき手順として例示されている機能設定に含まれないものはどれだお？,主体認証やアクセス制御、権限管理の設定・変更手順だお。,ログ管理や暗号化機能の設定・変更手順だお。,職員のSNSのアイコン画像を、週替わりで強制変更する手順だお。,クラウドサービスや政府共通利用型システムのセキュリティ維持手順だお。,3,【結論】正解は3だお！セキュリティに関係ない個人の趣味の変更は、手順書には不要だお！ 【根拠】※ https://www.nisc.go.jp/ 維持管理の手順書には、認証やログといった「守りの要」の設定をどう変えるかを具体的に書くお！オンプレミスのサーバーだけでなく、インターネット経由で使う「クラウドサービス」や「政府共通利用型システム」についても、管理者がどうやって安全を保つべきか（設定確認など）を定めておく必要があるんだお！ 【注意点・例外】手順を定めておかないと、担当者が変わった時に設定がバラバラになっちゃうお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項5.2.2(1)-6 e),ソフトウェアのセキュリティ維持（脆弱性対策）に関する手順に含めるべき具体的な内容として、適切なものはどれだお？,脆弱性情報の入手方法、情報の受取人、緊急度の判断手順、パッチ適用方針などだお。,脆弱性が見つかったソフトの名前を、世界中に大声で叫んで知らせる手順だお。,パッチを適用するかどうかを、毎朝の占いの結果で決定する手順だお。,脆弱性対策は一切行わず、すべてのバグを「仕様」として受け入れる手順だお。,1,【結論】正解は1だお！「いつ、誰が、どう判断して、いつ直すか」のロードマップだお！ 【根拠】※ https://www.nisc.go.jp/ 脆弱性が見つかった時に「どうしようお…」と悩んでる間に攻撃されちゃうお！だから、情報の集め方（JVNを見る等）や、誰が責任を持って情報を受け取るか、そして「これならすぐ直すお！」という優先順位（パッチ適用方針）をあらかじめ決めておくことが、命を守る手順書になるんだお！ 【注意点・例外】OSだけでなく、機器のファームウェアやライブラリも対象に含める必要があるお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項5.2.2(1)-6 e),アプリケーション開発において利用する「ライブラリ」や「プラグイン」、「オープンソースソフトウェア（OSS）」の脆弱性対策の手順が必要な理由はどれだお？,それらの名称を、すべてカッコいいカタカナ英語に統一するためだお。,OSのパッチだけでは守りきれず、これらパーツ自体に潜む脆弱性が狙われるリスクがあるからだお。,利用しているライブラリの作者に、毎日感謝のメールを送信するためだお。,OSSを使えば、すべての脆弱性対策をコミュニティに丸投げできるからだお。,2,【結論】正解は2だお！「メインのソフト」が安全でも、「部品（ライブラリ）」が穴だらけならアウトだお！ 【根拠】※ https://www.nisc.go.jp/ 最近のアプリは色んな「部品（OSSやライブラリ）」を組み合わせて作られているお。OSのアップデートだけして満足してると、部品に潜む脆弱性を突かれて中身を抜かれちゃうお！だから、自分が作ったアプリに使っているすべての拡張機能についても、脆弱性情報を追いかけて対策する手順が欠かせないんだお！ 【注意点・例外】OSSはサポート期間が短いこともあるから、特に注意して管理する必要があるお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 遵守事項5.2.2(2)(a),情報システムや機器の「納入時の検査」において、要求仕様どおりの動作を確認するためにガイドラインが例示している適切な手法はどれだお？,納入元から提出された「開発完了報告書」の受領と押印のみを行う。,受入れテストの実施、テスト資料の確認、第三者への委託、ISO/IEC 15408認証の確認等、特性に応じた検査を行う。,すべての機能検査を開発環境のみで完結させ、本番環境での動作確認は省略する。,納入元の代表者による、セキュリティ上の欠陥がないことの「口頭での宣言」を記録する。,2,【結論】正解は2だお！「信じるけど、ちゃんと確かめる」のが検査の基本だお！ 【根拠】※ https://www.nisc.go.jp/ 納品されたものが本当に安全か確かめるには、自分たちでテスト（受入れテスト）したり、プロ（第三者）に頼んだり、国際的な認証（ISO/IEC 15408）を確認したりと、モノの性質に合わせた「客観的な証拠」が必要なんだお！ 【注意点・例外】検査の手順は、あらかじめ「納入時の確認・検査手続」として整備しておく必要があるお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 遵守事項5.2.2(2)(b),情報システムの「運用保守事業者が交代」する場合、引継事項の確認において含めるべき情報はどれだお？,旧事業者の機密情報保護のため、引継ぎは事務的な手続きのみに限定し、構成情報は共有しない。,運用規程やインシデント対処手順、復旧手順など、セキュリティ対策の維持に必要な情報を一貫して引き継ぐ。,次期事業者がゼロから設定を構築し直すため、旧事業者の設定情報はすべて破棄する。,引継ぎ作業は事業者の自主的な判断に任せ、機関側は一切関与しない。,2,【結論】正解は2だお！事業者が変わっても、守りの質を落とさないためのバトンタッチだお！ 【根拠】※ https://www.nisc.go.jp/ 事業者が変わる時は「情報の空白期間」ができやすいお。だから、前の事業者が持っていたセキュリティのノウハウや手順を、漏れなく次の事業者に引き継がせることが、管理者の重要な役目なんだお！ 【注意点・例外】単なる「操作方法」だけでなく、「インシデントへの備え」まで引き継ぐのがポイントだお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項5.2.2(2)-1 a),運用開始前の確認において、開発時に使用した「テスト用の識別コード（ID）」の取り扱いとして正しいものはどれだお？,将来のトラブル調査のデバッグ用として、パスワードを複雑にした上で本番環境に残しておく。,運用時には不要となる識別コードが残っていないことを確実に確認する。,テスト用コードをすべて一般利用者用のアカウントに転用し、設定の手間を省く。,テスト用コードの存在をマニュアルに明記し、有事の際の緊急用アカウントとして運用する。,2,【結論】正解は2だお！「いらなくなった裏口」は、ハッカーに狙われる前に速攻で閉める（削除する）お！ 【根拠】※ https://www.nisc.go.jp/ テスト用のIDは、開発者が使いやすいように権限が強かったり、管理が甘かったりすることが多いお。これを消し忘れると、そこがハッカーの格好の侵入口（バックドア）になっちゃうから、絶対に全削除を確認しなきゃダメだお！ 【注意点・例外】把握していない不要なコードを悪用されるのが一番怖いシナリオだお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項5.2.2(2)-1 b),NASや無停電電源装置（UPS）、通信機器等の導入時に、管理画面やSNMPコミュニティ名に対して行うべき対応はどれだお？,初期設定値はマニュアル等で公開されているため、推測可能な初期値を無効にするか変更されていることを確認する。,利便性と保守性を優先し、社内ネットワーク内であれば初期設定（public等）のまま運用を継続する。,外部からのアクセスを遮断している場合に限り、パスワード設定自体を省略する。,設定の変更を行うと故障時のサポートが受けられなくなるため、デフォルト値を維持する。,1,【結論】正解は1だお！「1234」や「admin」、「public」のままにするのは、鍵をかけずに外出するのと同じだお！ 【根拠】※ https://www.nisc.go.jp/ PCやサーバーだけでなく、UPSやNAS、SNMPのコミュニティ名も狙われるお！初期設定のままだと、なりすましや情報窃取の「踏み台」にされるリスクがあるから、必ず変更するか、不要なら無効化する対応が必須なんだお！ 【注意点・例外】SNMPコミュニティ名の変更は、ネットワーク監視の基本中の基本だお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項5.2.2(2)-1 c),情報システムの「運用開始直前」に行うべき脆弱性対策の確認として、適切な行動はどれだお？,開発時に一度検査を行っていれば、運用開始直前の再確認は省略してよい。,製品ベンダの情報やIPA、JPCERT/CC、NISC等からの注意喚起を参照し、最新の脆弱性への対策状況を確認する。,脆弱性対策は運用開始後の定期点検で行うこととし、まずはリリースのスピードを優先する。,脆弱性情報は非公開なものが多いため、専門家による有料の侵入テスト（ペネトレーションテスト）のみを信頼する。,2,【結論】正解は2だお！「生まれたてのシステム」がすでに穴だらけ、なんて悲劇を絶対に防ぐお！ 【根拠】※ https://www.nisc.go.jp/ システムが完成してから実際に動き出すまでの間にも、新しい脆弱性はどんどん見つかるお！だから、スタートボタンを押す直前に、最新の注意喚起やベンダ情報をチェックして、「今、わかっている穴」が全部塞がっているか最終確認しなきゃいけないんだお！ 【注意点・例外】ソフトウェアだけでなく、ハードウェアの脆弱性（ファームウェア等）も対象だお。 【出典】統一基準ガイドライン 【確実性: 高】
